"","country","cases","deaths","geoId","popData2018","iso3c","date","date2","miss","total.pop","cum.cases","cum.deaths","total.cases","total.deaths","total.cum.cases","total.cum.deaths","cases.pc","deaths.pc","cum.cases.pc","cum.deaths.pc","X","mindate","schools","events","lockdown","school.d","events.d","lockdown.d","remove.school","remove.events","remove.lockdown","CC.EST","GE.EST","PV.EST","RL.EST","RQ.EST","free","rai","country_code","country_id","cabinet_id","n_parties","caretaker","minority","gov_start_date","pm_party_en","pm_party_local","pm_party_family","party_id","hm_party_en","hm_party_loc","hm_party_family","party_id_health","hm_min_name","hm_min_type","hm_medic","federalism","sgi_experts","mindate.p","schools.p","events.p","lockdown.p","notes"
"914","Germany",1144,0,"DE",82927922,"DEU",2020-03-18,18339,FALSE,534379900,7156,13,10341,593,73632,3347,14,0,86,0,11,"2020-01-01","2020-03-18","2020-03-20","2020-03-22",1,0,0,FALSE,FALSE,FALSE,1.946584,1.619633,0.6048951,1.630446,1.749248,94,37.4,276,54,1528,2,0,0,"14-03-2018","Christian Democratic Union Christian Social Union","Christlich Demokratische Union Christlich Soziale Union","Christian democracy",1727,"Christian Democratic Union","Christlich Demokratische Union","Christian Democracy",1727,"Health","single",0,1,6,2020-01-01,2020-03-18,2020-03-20,2020-03-22,NA
"992","Greece",6,0,"EL",10727668,"GRC",2020-03-11,18332,FALSE,534379900,90,0,2656,180,17919,714,1,0,8,0,12,"2020-01-01","2020-03-11","2020-03-09","2020-03-23",1,1,0,FALSE,TRUE,FALSE,-0.0660259,0.3382609,0.0925857,0.1529743,0.2950006,88,8,300,41,1597,1,0,0,"08-07-2019","New Democracy","Néa Dimokratia","Christian democracy",47,"New Democracy","Néa Dimokratia","Christian democracy",47,"Health","single",1,0,6,2020-01-01,2020-03-11,2020-03-09,2020-03-23,NA
"1082","Hungary",8,1,"HU",9768785,"HUN",2020-03-16,18337,FALSE,534379900,39,1,9434,591,53964,2329,1,0,4,0,13,"2020-01-01","2020-03-16","2020-03-11","2020-03-28",1,1,0,FALSE,TRUE,FALSE,0.053347,0.4873109,0.7552119,0.555392,0.6022686,70,8.9,348,39,1531,2,0,0,"10-05-2018","Fidesz -- Hungarian Civic Union","Fidesz – Magyar Polgári Szövetség","Conservative",921,"Fidesz -- Hungarian Civic Union","Fidesz – Magyar Polgári Szövetség","Conservative",921,"Human Capacities","subsumed",1,0,2,2020-01-01,2020-03-16,2020-03-11,2020-03-28,"Health care under Ministry of Human Capacities (seemingly)"
"1168","Iceland",21,0,"IS",353574,"ISL",2020-03-17,18338,FALSE,534379900,199,0,9327,425,63291,2754,59,0,563,0,14,"2020-01-01","2020-03-17","2020-03-16",NA,1,1,0,FALSE,TRUE,FALSE,1.843649,1.465655,1.412426,1.719734,1.417764,94,0,352,56,1524,2,0,0,"30-11-2017","Left-Green Movement","Vinstrihreyfingin – grænt framboð","Green Ecologist",210,"Left-Green Movement","Vinstrihreyfingin – grænt framboð","Green Ecologist",210,"Health","single",0,0,6,2020-01-01,2020-03-17,2020-03-16,NA,NA
"1256","Ireland",191,1,"IE",4853506,"IRL",2020-03-20,18341,FALSE,534379900,557,3,20658,847,106512,4917,39,0,115,1,15,"2020-01-01","2020-03-20","2020-03-26",NA,1,0,0,FALSE,FALSE,FALSE,1.547376,1.420338,1.030591,1.464224,1.595356,97,12,372,37,1511,2,1,1,"14-01-2020","Fine Gael (Family of the Irish)","Fine Gael","Christian democracy",1393,"Fine Gael (Family of the Irish)","Fine Gael","Christian democracy",1393,"Health","single",0,0,5,2020-01-01,2020-03-20,2020-03-26,NA,"on 14 January 2020 government dissolved, new elections on 8 February 2020, no new government formed, Varadkar government caretaker since 20 February 2020 until new government. PM is a medical doctor"
"1325","Italy",466,28,"IT",60431283,"ITA",2020-03-04,18325,FALSE,534379900,2502,80,653,29,3339,84,8,0,41,1,16,"2020-01-01","2020-03-04","2020-03-04","2020-03-12",1,1,0,FALSE,FALSE,FALSE,0.2356188,0.4138835,0.3111933,0.2467615,0.6714953,89,23.9,380,26,1603,4,0,0,"05-09-2019",NA,NA,NA,1552,"Free and Equal","Liberi e Uguali","Social democracy",NA,"Health","single",0,0,3,2020-01-01,2020-03-04,2020-03-04,2020-03-12,"health minister's party does not appear in ParlGov"
"1418","Latvia",2,0,"LV",1926542,"LVA",2020-03-12,18333,FALSE,534379900,10,0,4825,233,22744,947,1,0,5,0,17,"2020-03-03","2020-03-12","2020-03-12",NA,1,1,0,FALSE,FALSE,FALSE,0.3285871,1.043452,0.4215345,0.9569856,1.189894,89,3,428,55,1592,5,0,0,"23-01-2019","Unity","Vienotiba","Conservative",1666,"Development For!","Attistibai Par!","Liberal",NA,"Health","single",0,0,6,2020-03-03,2020-03-12,2020-03-12,NA,"health minister's party does not appear in ParlGov"
"1503","Lithuania",0,0,"LT",2789533,"LTU",2020-03-12,18333,FALSE,534379900,3,0,4825,233,22744,947,0,0,1,0,18,"2020-01-01","2020-03-12","2020-03-12","2020-03-16",1,1,0,FALSE,FALSE,FALSE,0.4978957,1.072398,0.752799,0.9573604,1.113281,91,3,440,15,1615,4,0,0,"20-08-2019","Lithuanian Peasant Union","Lietuvos valstieciu sajunga","Agrarian",191,NA,NA,NA,NA,"Health","single",1,0,6,2020-01-01,2020-03-12,2020-03-12,2020-03-16,NA
"1589","Luxembourg",19,0,"LU",607728,"LUX",2020-03-13,18334,FALSE,534379900,26,0,6403,248,29147,1195,31,0,43,0,19,"2020-01-01","2020-03-13","2020-03-12","2020-03-15",1,1,0,FALSE,TRUE,FALSE,2.087755,1.778221,1.373404,1.810886,1.757206,98,0,442,7,1588,3,0,0,"05-12-2018","Democratic Party","Demokratesch Partei","Liberal",967,"Luxembourg Socialist Workers' Party","Lëtzebuerger Sozialistesch Arbechterpartei","Social democracy",701,"Health (see remarks)","subsumed",0,0,7,2020-01-01,2020-03-13,2020-03-12,2020-03-15,"One person holds three portfolios: the health minister, Paulette Lenert, is at the same time minister delegate of Social Security and Consumer Protection"
"1673","Malta",2,0,"MT",483530,"MLT",2020-03-12,18333,FALSE,534379900,6,0,4825,233,22744,947,4,0,12,0,20,"2020-03-08","2020-03-12","2020-03-12",NA,1,1,0,FALSE,FALSE,FALSE,0.5799018,0.968796,1.294193,1.053974,1.336778,90,0,470,72,1623,1,0,0,"13-01-2020","Malta Labour Party","Partit Laburista","Social democracy",1003,"Malta Labour Party","Partit Laburista","Social democracy",1003,"Health","single",1,0,5,2020-03-08,2020-03-12,2020-03-12,NA,NA
"1761","Netherlands",155,7,"NL",17231017,"NLD",2020-03-15,18336,FALSE,534379900,959,12,8623,231,44530,1738,9,0,56,1,21,"2020-01-01","2020-03-15","2020-03-12","2020-03-23",1,1,0,FALSE,TRUE,FALSE,2.009026,1.850466,0.8682934,1.816361,2.01824,99,17.5,528,8,1530,4,0,0,"26-10-2017","People's Party for Freedom and Democracy","Volkspartij voor Vrijheid en Democratie","Liberal",1409,"People's Party for Freedom and Democracy","Volkspartij voor Vrijheid en Democratie","Liberal",1409,"Health, Welfare and Sport","shared",0,0,6,2020-01-01,2020-03-15,2020-03-12,2020-03-23,"After falling ill, the health care minister is replaced by an independent; management of the epidemy shifted to Christian Democratic ministry"
"1843","Norway",212,0,"NO",5314336,"NOR",2020-03-12,18333,FALSE,534379900,489,0,4825,233,22744,947,40,0,92,0,22,"2020-01-01","2020-03-12","2020-03-12","2020-03-12",1,1,1,FALSE,FALSE,FALSE,2.089907,1.887119,1.153804,1.965631,1.75844,100,12,578,9,1617,3,0,1,"24-01-2020","Conservative Party","Høyre","Conservative",1435,"Conservative Party","Høyre","Conservative",1435,"Health and Care Services","shared",0,0,8,2020-01-01,2020-03-12,2020-03-12,2020-03-12,NA
"1928","Poland",9,0,"PL",37978548,"POL",2020-03-12,18333,FALSE,534379900,31,0,4825,233,22744,947,0,0,1,0,23,"2020-01-01","2020-03-12","2020-03-10","2020-03-12",1,1,1,FALSE,TRUE,FALSE,0.6414219,0.6626508,0.5450124,0.4278919,0.8819272,84,9,616,74,1611,1,0,0,"15-11-2019","Law and Justice","Prawo i Sprawiedliwosc","Conservative",528,"Law and Justice","Prawo i Sprawiedliwosc","Conservative",528,"Health","single",1,0,4,2020-01-01,2020-03-12,2020-03-10,2020-03-12,NA
"2017","Portugal",76,0,"PT",10281762,"PRT",2020-03-16,18337,FALSE,534379900,245,0,9434,591,53964,2329,7,0,24,0,24,"2020-01-01","2020-03-16","2020-03-10","2020-03-19",1,1,0,FALSE,TRUE,FALSE,0.8498304,1.208909,1.140031,1.140912,0.8900307,96,8.1,620,67,1610,1,0,1,"26-10-2019","Socialist Party","Partido Socialista","Social democracy",725,"Independent","Independent",NA,NA,"Health","single",0,0,5,2020-01-01,2020-03-16,2020-03-10,2020-03-19,NA
"2097","Romania",8,0,"RO",19473936,"ROU",2020-03-11,18332,FALSE,534379900,25,0,2656,180,17919,714,0,0,1,0,25,"2020-01-01","2020-03-11","2020-03-08","2020-03-23",1,1,0,FALSE,TRUE,FALSE,-0.1216504,-0.2534418,0.0593082,0.3254628,0.4453986,83,10,642,23,1619,1,0,1,"04-11-2019","National Liberal Party","Partidul National Liberal","Liberal",1015,"National Liberal Party","Partidul National Liberal","Liberal",1015,"Health","single",1,0,4,2020-01-01,2020-03-11,2020-03-08,2020-03-23,"Minister of health Costache was replaced amidst the crisis by Tataru (14 March 2020)"
"2183","Slovakia",3,0,"SK",5447011,"SVK",2020-03-12,18333,FALSE,534379900,10,0,4825,233,22744,947,1,0,2,0,26,"2020-01-01","2020-03-12","2020-03-10","2020-03-12",1,1,1,FALSE,TRUE,FALSE,0.3629198,0.7074615,0.7504383,0.5290585,0.8107936,88,7,703,1,1529,3,0,0,"22-03-2018","Direction - Social Democracy","Smer – sociálna demokracia","Social democracy",220,"Direction - Social Democracy","Smer – sociálna demokracia","Social democracy",220,"Health","single",0,0,5,2020-01-01,2020-03-12,2020-03-10,2020-03-12,"Prime Minister Pellegrini is the acting Health minister since 17 December 2019"
"2268","Slovenia",26,0,"SI",2067372,"SVN",2020-03-12,18333,FALSE,534379900,57,0,4825,233,22744,947,13,0,28,0,27,"2020-01-01","2020-03-12","2020-03-07","2020-03-20",1,1,0,FALSE,TRUE,FALSE,0.8702175,1.125806,0.9109183,1.058505,0.6948206,94,2,705,60,1555,5,0,1,"17-08-2018","List of Marjan Sarec","Lista Marjana Šarca","Social democracy",2668,"List of Marjan Sarec","Lista Marjana Šarca","Social democracy",2668,"Health","single",0,0,4,2020-01-01,2020-03-12,2020-03-07,2020-03-20,NA
"2357","Spain",2000,152,"ES",46723749,"ESP",2020-03-16,18337,FALSE,534379900,7753,288,9434,591,53964,2329,43,3,166,6,28,"2020-01-01","2020-03-16","2020-03-14","2020-03-14",1,1,1,FALSE,TRUE,TRUE,0.613507,1.002136,0.2548025,0.9689376,0.9452896,92,29.8,724,27,1605,5,0,1,"13-01-2020","Spanish Socialist Workers Party","Partido Socialista Obrero Español","Social democracy",902,"Socialists' Party of Catalonia","Partit dels Socialistes de Catalunya","Social democracy",1974,"Health","single",0,0,7,2020-01-01,2020-03-16,2020-03-14,2020-03-14,NA
"2465","Sweden",487,114,"SE",10183175,"SWE",2020-04-08,18360,FALSE,534379900,7693,591,26825,4824,656821,56466,48,11,755,58,29,"2020-01-01",NA,"2020-03-12",NA,0,1,0,FALSE,TRUE,FALSE,2.139578,1.830975,0.9136876,1.895983,1.800021,100,12,752,35,1590,2,0,1,"18-01-2019","Social Democrats","Socialdemokraterna","Social democracy",904,"Social Democrats","Socialdemokraterna","Social democracy",904,"Health and Social Affairs","single",0,0,8,2020-01-01,NA,2020-03-12,NA,NA
"2524","Switzerland",212,0,"CH",8516543,"CHE",2020-03-13,18334,FALSE,534379900,854,4,6403,248,29147,1195,25,0,100,0,30,"2020-01-01","2020-03-13","2020-03-17",NA,1,0,0,FALSE,FALSE,FALSE,2.00971,2.039621,1.344863,1.931222,1.780406,96,26.5,756,40,1612,4,0,0,"11-12-2019",NA,NA,NA,NA,"Radical Democratic Part","Sozialdemokratische Partei der Schweiz – Parti Socialiste Suisse","Social democracy",35,"Home Affairs","subsumed",0,1,9,2020-01-01,2020-03-13,2020-03-17,NA,"Health care portfolio resides under Federal Department of Home Affairs; There is no Prime Minister, a rotating president"
"2619","United_Kingdom",665,48,"UK",66488991,"GBR",2020-03-23,18344,FALSE,534379900,5683,281,19259,1307,167158,8681,10,1,85,4,31,"2020-01-01","2020-03-23","2020-03-21","2020-03-23",1,1,1,FALSE,TRUE,FALSE,1.826577,1.341884,0.0487175,1.638637,1.761863,94,9.1,826,44,1606,1,0,0,"13-12-2019","Conservatives","Conservatives","Conservative",773,"Conservatives","Conservatives","Conservative",773,"Health and Social Care","shared",0,0,8,2020-01-01,2020-03-23,2020-03-21,2020-03-23,NA
